/home/czar/TCC # ./regression_nqueens.sh 
=========================================
 Regressão N-Queens GA (C++)
 N=4..40 | 10 runs por tamanho
 Data: 2005-11-29 00:01:05
=========================================

N     Status       Min (µs)     Max (µs)  Média (µs)   Total (µs)  Solução (run 1)
4     OK                 149           240           162          1624  1 3 0 2
5     OK                 158           209           164          1647  1 4 2 0 3
6     OK                 493           546           511          5119  3 0 4 1 5 2
7     OK                 172           230           186          1869  6 4 2 0 5 3 1
8     OK                 218          1374           344          3442  3 5 7 2 0 6 4 1
9     OK                1080          1163          1107         11073  4 2 7 5 1 8 6 0 3
10    OK                2058          2104          2077         20770  3 6 2 9 5 0 8 4 7 1
11    OK                9557          9710          9624         96248  5 3 10 7 4 8 0 2 9 6 1
12    OK                3065          3190          3116         31161  7 2 10 5 9 4 0 11 3 1 6 8
13    OK              200047        203166        201714       2017147  7 9 11 2 0 6 10 5 1 12 4 8 3
14    OK               20251         20617         20424        204247  13 5 2 11 6 12 3 0 7 10 1 9 4 8
15    OK               74563         75964         75175        751758  10 8 14 2 7 1 11 0 6 3 5 12 9 13 4
16    OK              981175       1004339        990465       9904651  13 8 4 14 0 5 10 1 7 2 15 12 9 11 6 3
17    OK              576303        582254        578668       5786688  14 10 3 5 2 4 11 13 8 6 0 15 1 16 7 9 12
18    OK             1743244       1759372       1752014      17520142  5 16 6 10 15 13 3 0 17 12 4 1 8 11 2 14 7 9
19    OK             1432593       1451021       1440600      14406005  0 3 9 17 10 2 7 5 11 13 18 16 6 4 1 8 15 12 14
20    OK              736945        742031        739715       7397151  10 4 16 18 9 11 6 0 15 5 19 13 3 7 12 2 17 14 1 8
21    OK             1273105       1288048       1280003      12800031  20 17 11 2 7 12 4 9 0 19 15 8 18 13 1 16 6 10 3 5 14
22    OK              318753        321343        320216       3202168  16 1 3 11 18 14 12 5 0 8 21 13 17 20 9 19 4 10 7 2 6 15
23    OK              270876        272986        271592       2715926  5 20 15 11 14 3 10 16 2 4 17 8 0 9 1 18 22 19 7 12 6 13 21
24    OK             3896781       3925067       3911602      39116025  3 15 6 11 19 12 1 13 18 21 2 4 10 0 5 14 17 22 7 9 20 23 16 8
25    OK              157528        159161        158384       1583840  0 12 15 6 16 10 1 21 24 17 20 8 19 9 23 14 2 18 7 4 13 3 5 11 22
26    OK            12823057      12899157      12860388     128603881  15 6 22 7 16 13 2 4 11 19 24 10 18 20 0 17 25 5 9 12 3 8 23 21 14 1
27    OK             4940697       4970403       4949025      49490254  23 6 19 9 14 8 21 1 17 2 22 24 10 3 15 0 12 25 18 7 4 16 11 20 26 5 13
28    OK             9824240       9900329       9860649      98606491  21 8 25 1 13 5 20 27 23 6 2 14 18 9 15 26 3 7 17 24 22 12 16 0 4 11 19 10
29    OK            13955948      13999715      13979808     139798089  22 8 18 9 14 3 5 10 25 23 21 24 7 1 16 27 13 6 26 20 4 17 12 28 2 11 19 0 15
30    OK             3887221       3922317       3904218      39042184  13 19 9 24 12 4 8 11 25 29 20 26 5 22 28 10 16 23 3 17 6 2 27 1 21 14 18 7 15 0
^C
/home/czar/TCC #
